,id,age,Ethnicity,gender,i,response,reaction_time,accuracy,img_emotion,img_ethnicity,img_gender,img_trigger,res_trigger,acc_trigger
283,group12_sub1,23,danish,Female,./final_images\BF02_HC_happy.jpg,i,252.6425109000411,correct,happy,black,female,20,200,220
284,group12_sub1,23,danish,Female,./final_images\BM12_SC_sad.jpg,e,253.45655310014263,correct,sad,black,male,30,100,130
285,group12_sub1,23,danish,Female,./final_images\AF03_SO_sad.jpg,e,254.27747790003195,correct,sad,black,female,30,100,130
286,group12_sub1,23,danish,Female,./final_images\BF02_NC_neutral.jpg,e,255.16944630001672,neutral,neutral,black,female,40,100,140
287,group12_sub1,23,danish,Female,./final_images\BF05_SO_sad.jpg,e,255.9786026000511,correct,sad,black,female,30,100,130
288,group12_sub1,23,danish,Female,./final_images\AF06_SC_sad.jpg,e,257.4065328000579,correct,sad,black,female,30,100,130
289,group12_sub1,23,danish,Female,./final_images\BM18_HO_happy.jpg,i,258.14341550017707,correct,happy,black,male,20,200,220
290,group12_sub1,23,danish,Female,./final_images\WF01_SC_sad.jpg,e,259.06850769999437,correct,sad,white,female,30,100,130
291,group12_sub1,23,danish,Female,./final_images\AM09_SC_sad.jpg,e,259.90063420007937,correct,sad,black,male,30,100,130
292,group12_sub1,23,danish,Female,./final_images\BM05_HC_happy.jpg,i,260.74148680013604,correct,happy,black,male,20,200,220
293,group12_sub1,23,danish,Female,./final_images\WM04_HO_happy.jpg,i,261.46452510007657,correct,happy,white,male,20,200,220
294,group12_sub1,23,danish,Female,./final_images\BF12_NO_neutral.jpg,i,262.3306116000749,neutral,neutral,black,female,40,200,140
295,group12_sub1,23,danish,Female,./final_images\WM09_HC_happy.jpg,i,263.0784565000795,correct,happy,white,male,20,200,220
296,group12_sub1,23,danish,Female,./final_images\WF11_NO_neutral.jpg,e,263.98860809998587,neutral,neutral,white,female,40,100,140
297,group12_sub1,23,danish,Female,./final_images\WM04_NO_neutral.jpg,i,264.8294730000198,neutral,neutral,white,male,40,200,140
298,group12_sub1,23,danish,Female,./final_images\BF10_HO_happy.jpg,i,265.6044285001699,correct,happy,black,female,20,200,220
299,group12_sub1,23,danish,Female,./final_images\WM10_NO_neutral.jpg,i,266.4263997999951,neutral,neutral,white,male,40,200,140
300,group12_sub1,23,danish,Female,./final_images\WM01_HO_happy.jpg,i,267.31563100009225,correct,happy,white,male,20,200,220
301,group12_sub1,23,danish,Female,./final_images\WF11_SC_sad.jpg,e,268.2215960000176,correct,sad,white,female,30,100,130
302,group12_sub1,23,danish,Female,./final_images\WM11_SC_sad.jpg,i,269.1555880000815,incorrect,sad,white,male,30,200,50
303,group12_sub1,23,danish,Female,./final_images\BF04_NC_neutral.jpg,i,270.72039180016145,neutral,neutral,black,female,40,200,140
304,group12_sub1,23,danish,Female,./final_images\BF14_NC_neutral.jpg,i,272.24953080015257,neutral,neutral,black,female,40,200,140
305,group12_sub1,23,danish,Female,./final_images\BF04_SC_sad.jpg,e,273.19753220002167,correct,sad,black,female,30,100,130
306,group12_sub1,23,danish,Female,./final_images\BM11_NO_neutral.jpg,i,274.3404294999782,neutral,neutral,black,male,40,200,140
307,group12_sub1,23,danish,Female,./final_images\WF15_HC_happy.jpg,i,275.2065630001016,correct,happy,white,female,20,200,220
308,group12_sub1,23,danish,Female,./final_images\BF06_SC_sad.jpg,e,276.0245281001553,correct,sad,black,female,30,100,130
309,group12_sub1,23,danish,Female,./final_images\WM06_SO_sad.jpg,e,276.93446660018526,correct,sad,white,male,30,100,130
310,group12_sub1,23,danish,Female,./final_images\AM01_SC_sad.jpg,e,277.7984298001975,correct,sad,black,male,30,100,130
311,group12_sub1,23,danish,Female,./final_images\AF06_SO_sad.jpg,e,278.57849740004167,correct,sad,black,female,30,100,130
312,group12_sub1,23,danish,Female,./final_images\WF14_HC_happy.jpg,i,279.36456650006585,correct,happy,white,female,20,200,220
313,group12_sub1,23,danish,Female,./final_images\AM10_SC_sad.jpg,i,280.3064366001636,incorrect,sad,black,male,30,200,50
314,group12_sub1,23,danish,Female,./final_images\WF10_SC_sad.jpg,e,281.1365009001456,correct,sad,white,female,30,100,130
315,group12_sub1,23,danish,Female,./final_images\WM03_HO_happy.jpg,i,282.3195403001737,correct,happy,white,male,20,200,220
316,group12_sub1,23,danish,Female,./final_images\AM02_HC_happy.jpg,i,283.1075339000672,correct,happy,black,male,20,200,220
317,group12_sub1,23,danish,Female,./final_images\AM07_HC_happy.jpg,i,283.8935927001294,correct,happy,black,male,20,200,220
318,group12_sub1,23,danish,Female,./final_images\WM08_NC_neutral.jpg,i,284.63249390013516,neutral,neutral,white,male,40,200,140
319,group12_sub1,23,danish,Female,./final_images\BF01_NC_neutral.jpg,i,285.88245330005884,neutral,neutral,black,female,40,200,140
320,group12_sub1,23,danish,Female,./final_images\WM07_SC_sad.jpg,e,286.77841300005093,correct,sad,white,male,30,100,130
321,group12_sub1,23,danish,Female,./final_images\BF03_HO_happy.jpg,i,287.5245107000228,correct,happy,black,female,20,200,220
322,group12_sub1,23,danish,Female,./final_images\BM15_NO_neutral.jpg,e,288.52554629999213,neutral,neutral,black,male,40,100,140
323,group12_sub1,23,danish,Female,./final_images\WM05_SC_sad.jpg,e,289.40040959999897,correct,sad,white,male,30,100,130
324,group12_sub1,23,danish,Female,./final_images\BF19_HC_happy.jpg,i,290.2623912000563,correct,happy,black,female,20,200,220
325,group12_sub1,23,danish,Female,./final_images\WM03_SO_sad.jpg,e,291.16448490018956,correct,sad,white,male,30,100,130
