,id,age,Ethnicity,gender,i,response,reaction_time,accuracy,img_emotion,img_ethnicity,img_gender,img_trigger,res_trigger,acc_trigger
218,ah,40,Danish,Male,./final_images\AM04_SO_sad.jpg,e,222.7347168000415,correct,sad,black,male,30,100,130
219,ah,40,Danish,Male,./final_images\WM12_NO_neutral.jpg,e,223.63872529985383,neutral,neutral,white,male,40,100,140
220,ah,40,Danish,Male,./final_images\BF10_HO_happy.jpg,i,224.35472209984437,correct,happy,black,female,20,200,220
221,ah,40,Danish,Male,./final_images\BM09_SO_sad.jpg,e,225.47669469984248,correct,sad,black,male,30,100,130
222,ah,40,Danish,Male,./final_images\WM12_SC_sad.jpg,e,226.328647099901,correct,sad,white,male,30,100,130
223,ah,40,Danish,Male,./final_images\WM07_NC_neutral.jpg,e,229.80064799985848,neutral,neutral,white,male,40,100,140
224,ah,40,Danish,Male,./final_images\BM08_SO_sad.jpg,i,230.61470869998448,incorrect,sad,black,male,30,200,50
225,ah,40,Danish,Male,./final_images\BM11_NC_neutral.jpg,e,231.86564299999736,neutral,neutral,black,male,40,100,140
226,ah,40,Danish,Male,./final_images\AM03_SC_sad.jpg,e,232.6687632999383,correct,sad,black,male,30,100,130
227,ah,40,Danish,Male,./final_images\BF04_HO_happy.jpg,i,233.61264689988457,correct,happy,black,female,20,200,220
228,ah,40,Danish,Male,./final_images\WM06_HC_happy.jpg,i,234.58777639991604,correct,happy,white,male,20,200,220
229,ah,40,Danish,Male,./final_images\BM09_SC_sad.jpg,e,235.56368330004625,correct,sad,black,male,30,100,130
230,ah,40,Danish,Male,./final_images\BM06_NC_neutral.jpg,i,236.6427604998462,neutral,neutral,black,male,40,200,140
231,ah,40,Danish,Male,./final_images\AM10_HC_happy.jpg,i,237.5816758000292,correct,happy,black,male,20,200,220
232,ah,40,Danish,Male,./final_images\WM04_NC_neutral.jpg,i,241.93661429989152,neutral,neutral,white,male,40,200,140
233,ah,40,Danish,Male,./final_images\WF15_NO_neutral.jpg,e,243.0586756998673,neutral,neutral,white,female,40,100,140
234,ah,40,Danish,Male,./final_images\BF04_SO_sad.jpg,e,243.98666869988665,correct,sad,black,female,30,100,130
235,ah,40,Danish,Male,./final_images\AM09_SC_sad.jpg,e,244.90064759994857,correct,sad,black,male,30,100,130
236,ah,40,Danish,Male,./final_images\WM01_SO_sad.jpg,e,246.4647007000167,correct,sad,white,male,30,100,130
237,ah,40,Danish,Male,./final_images\WF13_NO_neutral.jpg,e,247.48865049984306,neutral,neutral,white,female,40,100,140
238,ah,40,Danish,Male,./final_images\AF11_HO_happy.jpg,i,248.2315995998215,correct,happy,black,female,20,200,220
239,ah,40,Danish,Male,./final_images\BM18_HC_happy.jpg,i,249.0075741999317,correct,happy,black,male,20,200,220
240,ah,40,Danish,Male,./final_images\BM13_SC_sad.jpg,e,250.0146196000278,correct,sad,black,male,30,100,130
241,ah,40,Danish,Male,./final_images\WF06_SC_sad.jpg,e,250.84574459982105,correct,sad,white,female,30,100,130
242,ah,40,Danish,Male,./final_images\AF08_SC_sad.jpg,e,251.88269889983349,correct,sad,black,female,30,100,130
243,ah,40,Danish,Male,./final_images\AM08_HO_happy.jpg,i,252.72468019998632,correct,happy,black,male,20,200,220
244,ah,40,Danish,Male,./final_images\BF17_SC_sad.jpg,e,255.04563779989257,correct,sad,black,female,30,100,130
245,ah,40,Danish,Male,./final_images\WM09_NC_neutral.jpg,e,255.85563019989058,neutral,neutral,white,male,40,100,140
246,ah,40,Danish,Male,./final_images\AM07_HC_happy.jpg,i,256.64059609989636,correct,happy,black,male,20,200,220
247,ah,40,Danish,Male,./final_images\WM06_SC_sad.jpg,e,257.44360059988685,correct,sad,white,male,30,100,130
248,ah,40,Danish,Male,./final_images\AF01_HC_happy.jpg,i,258.1906488998793,correct,happy,black,female,20,200,220
249,ah,40,Danish,Male,./final_images\AM10_SC_sad.jpg,e,259.0806156999897,correct,sad,black,male,30,100,130
250,ah,40,Danish,Male,./final_images\WF07_NC_neutral.jpg,e,260.3976506998297,neutral,neutral,white,female,40,100,140
251,ah,40,Danish,Male,./final_images\BF18_SC_sad.jpg,e,261.0866533999797,correct,sad,black,female,30,100,130
252,ah,40,Danish,Male,./final_images\AM05_SC_sad.jpg,e,261.98560549994,correct,sad,black,male,30,100,130
253,ah,40,Danish,Male,./final_images\BF06_HO_happy.jpg,i,262.70059289992787,correct,happy,black,female,20,200,220
254,ah,40,Danish,Male,./final_images\BM06_NO_neutral.jpg,i,264.18271289998665,neutral,neutral,black,male,40,200,140
255,ah,40,Danish,Male,./final_images\WM01_SC_sad.jpg,e,264.90764259989373,correct,sad,white,male,30,100,130
256,ah,40,Danish,Male,./final_images\AF10_HO_happy.jpg,i,265.586671799887,correct,happy,black,female,20,200,220
