Unnamed: 0,id,age,Ethnicity,gender,i,response,reaction_time,accuracy,img_emotion,img_ethnicity,img_gender,img_trigger,res_trigger,acc_trigger,ethnicity_trigger
438,ah,40,Danish,male,./final_images\AM05_SO_sad.jpg,e,442.8025026998948,correct,sad,asian,male,30,100,130,31
439,ah,40,Danish,male,./final_images\AF06_HC_happy.jpg,i,443.6534949999768,correct,happy,asian,female,20,200,220,21
440,ah,40,Danish,male,./final_images\BM06_SC_sad.jpg,i,445.02846229984425,incorrect,sad,black,male,30,200,50,32
441,ah,40,Danish,male,./final_images\AM6_HC_happy.jpg,i,445.90943349990994,correct,happy,asian,male,20,200,220,21
442,ah,40,Danish,male,./final_images\WF08_SC_sad.jpg,e,447.0665194999892,correct,sad,white,female,30,100,130,33
443,ah,40,Danish,male,./final_images\AM09_HC_happy.jpg,i,447.8574410998263,correct,happy,asian,male,20,200,220,21
444,ah,40,Danish,male,./final_images\WM13_NO_neutral.jpg,e,448.580364999827,neutral,neutral,white,male,40,100,140,43
445,ah,40,Danish,male,./final_images\WF12_SO_sad.jpg,e,450.1414289998356,correct,sad,white,female,30,100,130,33
446,ah,40,Danish,male,./final_images\BF02_HO_happy.jpg,i,450.953459299868,correct,happy,black,female,20,200,220,22
447,ah,40,Danish,male,./final_images\AM01_SO_sad.jpg,e,451.9035354000516,correct,sad,asian,male,30,100,130,31
448,ah,40,Danish,male,./final_images\WM03_SO_sad.jpg,e,453.4804203999229,correct,sad,white,male,30,100,130,33
449,ah,40,Danish,male,./final_images\WF01_HO_happy.jpg,i,454.27545469999313,correct,happy,white,female,20,200,220,23
